134,GJ 581,3,12.914,0,6.27,0,0.31,7/9/2014,GJ 581 c,0,0,0,354.077543,40.01875,0
135,GJ 581,3,3.149,0,6.27,0,0.31,7/9/2014,GJ 581 e,0,0,0,354.077543,40.01875,0
136,GJ 625,1,14.628,0,6.49,3499,0.3,9/28/2017,GJ 625 b,0,0,0,83.211477,42.785424,26.7
137,GJ 649,1,598.3,0,10.32,3700,0.54,5/14/2014,GJ 649 b,0,0,0,46.523749,35.337414,0
138,GJ 667 C,5,7.2004,0,6.8,3350,0.33,5/14/2014,GJ 667 C b,0,0,0,351.83958,1.414651,27.81
139,GJ 667 C,5,28.14,0,6.8,3350,0.33,5/14/2014,GJ 667 C c,0,0,0,351.83958,1.414651,27.81
140,GJ 667 C,5,62.24,0,6.8,3350,0.33,5/14/2014,GJ 667 C e,0,0,0,351.83958,1.414651,27.81
141,GJ 667 C,5,39.026,0,6.8,3350,0.33,5/14/2014,GJ 667 C f,0,0,0,351.83958,1.414651,27.81
142,GJ 667 C,5,256.2,0,6.8,3350,0.33,5/14/2014,GJ 667 C g,0,0,0,351.83958,1.414651,27.81
143,GJ 674,1,4.6938,0,4.54,3600,0.35,5/14/2014,GJ 674 b,0,0,0,343.003882,-6.777523,27.53
144,GJ 676 A,4,1051.1,0,16.9,0,0.71,9/29/2016,GJ 676 A b,0,572.094,0,339.10397,-9.542696,0
145,GJ 676 A,4,7337,0,16.9,0,0.71,9/29/2016,GJ 676 A c,0,0,0,339.10397,-9.542696,0
146,GJ 676 A,4,3.6005,0,16.9,0,0.71,9/29/2016,GJ 676 A d,0,0,0,339.10397,-9.542696,0
147,GJ 676 A,4,35.39,0,16.9,0,0.71,9/29/2016,GJ 676 A e,0,0,0,339.10397,-9.542696,0
148,GJ 687,1,38.14,0,4.53,3413,0.41,5/28/2014,GJ 687 b,0,0,0,98.602314,31.964193,26.9
149,GJ 832,2,3657,0,4.94,3472,0.45,6/25/2014,GJ 832 b,0,0,0,349.172997,-46.349541,26.77
150,GJ 832,2,35.68,0,4.94,3472,0.45,6/25/2014,GJ 832 c,0,0,0,349.172997,-46.349541,26.77
151,GJ 849,1,1845,0,8.77,0,0.49,8/27/2014,GJ 849 b,0,0,0,55.890562,-45.399081,0
152,GJ 86,1,15.76491,0,10.91,5151,0.77,5/14/2014,GJ 86 b,0,0,0,275.92629,-61.960869,27.61
153,GJ 876,4,61.1166,0,4.7,0,0.33,8/27/2014,GJ 876 b,0,1.4302,0,52.003955,-59.630067,26.49
154,GJ 876,4,30.0881,0,4.7,0,0.33,8/27/2014,GJ 876 c,0,1.2395,0,52.003955,-59.630067,26.49
155,GJ 876,4,1.93778,0,4.7,0,0.33,8/27/2014,GJ 876 d,0,0.4,0,52.003955,-59.630067,26.49
156,GJ 876,4,124.26,0,4.7,0,0.33,8/27/2014,GJ 876 e,0,1.7,0,52.003955,-59.630067,26.49
157,GQ Lup,1,0,0,139,0,0.7,5/14/2014,GQ Lup b,2650,0,0,338.925348,14.51088,0
158,GSC 06214-00210,1,0,0,145,4200,0.9,4/1/2015,GSC 06214-00210 b,2300,300,0,355.261958,20.124738,0
159,GU Psc,1,0,0,48,0,0.33,5/14/2014,GU Psc b,1050,540.3,0,130.152329,-45.509583,0
160,HAT-P-1,1,4.46529976,0.01,139,5980,1.15,9/10/2015,HAT-P-1 b,1322,6.03877,0.071,99.791512,-19.036217,0
161,HAT-P-11,1,4.8878162,0.2,38,4780,0.81,5/14/2014,HAT-P-11 b,878,2.86,0.17,81.833662,10.772474,0
162,HAT-P-12,1,3.2130598,0.016,142.5,4650,0.73,5/14/2014,HAT-P-12 b,963,3.814,0.15,87.991696,68.875804,0
163,HAT-P-13,2,2.91625,0,214,5653,1.22,10/15/2014,HAT-P-13 b,0,12.077,0.2611,172.498256,37.542173,0
164,HAT-P-13,2,446.27,0,214,5653,1.22,5/16/2014,HAT-P-13 c,0,0,0,172.498256,37.542173,0
165,HAT-P-14,1,4.627669,0.24,205,6600,1.39,5/14/2014,HAT-P-14 b,1570,18.751,0.29,62.589094,33.537604,0
166,HAT-P-15,1,10.863502,0.22,190,5568,1.01,5/14/2014,HAT-P-15 b,904,20.976,0.62,161.558568,-6.891566,0
167,HAT-P-16,1,2.77596,0.35,235,6158,1.22,5/14/2014,HAT-P-16 b,1626,29.875,0.28,120.346854,-20.342618,0
168,HAT-P-17,2,10.338523,0.05,90,5246,0.86,5/14/2014,HAT-P-17 b,792,5.72,0.49,80.85211,-16.176688,0
169,HAT-P-17,2,5584,0,90,5246,0.86,5/14/2014,HAT-P-17 c,0,0,0,80.85211,-16.176688,0
170,HAT-P-18,1,5.508023,0.04,166,4803,0.77,5/14/2014,HAT-P-18 b,852,4.132,0.75,55.652182,35.561804,0
171,HAT-P-19,1,4.008778,0.04,215,4990,0.84,5/14/2014,HAT-P-19 b,1010,5.721,0.67,119.817745,-28.079258,0
172,HAT-P-2,1,5.6334729,1.12,135.32,6290,1.36,5/14/2014,HAT-P-2 b,1540,76.28,0.39,65.020956,45.232339,0
173,HAT-P-20,1,2.875317,1.5,70,4595,0.76,5/14/2014,HAT-P-20 b,970,59.432,0.29,194.414905,18.394672,0
174,HAT-P-21,1,4.124481,1.59,254,5588,0.95,5/14/2014,HAT-P-21 b,1283,51.168,0.71,169.324835,67.463713,0
175,HAT-P-22,1,3.21222,0.4,82,5302,0.92,5/14/2014,HAT-P-22 b,1283,19.387,0.35,163.647264,53.566834,0
176,HAT-P-23,1,1.21288287,0.129,393,5885,1.1,3/26/2015,HAT-P-23 b,1951,38,0.0919,58.936294,-11.834165,0
177,HAT-P-24,1,3.35524,0.07,396,6373,1.19,5/14/2014,HAT-P-24 b,1637,10.488,0.35,202.738016,11.65316,0
178,HAT-P-25,1,3.652836,0.07,297,5500,1.01,5/14/2014,HAT-P-25 b,1202,6.992,0.38,159.314258,-27.442491,0
179,HAT-P-26,1,4.234516,0.1,134,5079,0.82,5/14/2014,HAT-P-26 b,1001,2.225,0.83,346.513394,59.873133,0
180,HAT-P-27,1,3.039577,0,204,5300,0.94,5/14/2014,HAT-P-27 b,0,9.53,0.4,1.683409,54.543954,0
181,HAT-P-28,1,3.257215,0.09,395,5680,1.02,5/14/2014,HAT-P-28 b,1384,11.759,0.57,123.063604,-28.143139,0
182,HAT-P-29,1,5.723186,0.18,322,6087,1.21,5/14/2014,HAT-P-29 b,1260,24.154,0.71,135.470653,-9.10791,0
183,HAT-P-3,1,2.899736,0.25,138,5185,0.92,5/14/2014,HAT-P-3 b,,5.721,0.49,100.166711,66.692505,0
184,HAT-P-30,1,2.810595,0.05,193,6304,1.24,5/14/2014,HAT-P-30 b,1630,8.899,0.26,217.412057,21.405463,0
185,HAT-P-31,1,5.005425,1.24,354,6065,1.22,5/14/2014,HAT-P-31 b,1450,33.371,1.4,52.720282,21.063456,0
